(all) fucked up	(total) im Arsch
to take one's exams	Examen machen
to take out	entfernen
to take out a loan	einen Kredit aufnehmen
to take over	übernehmen
to take over with	besprechen mit
to take part (in)	mitmachen (bei)
to take part in the combat	mitkämpfen
to take pictures	Aufnahmen machen
to take place	abgehalten werden
to take possession of	in Besitz nehmen
to take pride in	stolz sein auf
to take root	Wurzel schlagen
to take shape	Gestalt annehmen
to take shelter from	Schutz suchen vor
to take sides	Partei ergreifen
to take snuff	schnupfen
to take someone for a ride	jemanden auf die Schippe nehmen
to take someone to task	jemanden tadeln
to take someone to task (about)	sich jemanden vornehmen (wegen)
to take someone under one's wing	jemanden unter seine Fittiche nehmen
to take someone's mind off his worries	jemanden von seinen sorgen ablenken
to take someone's part	jemandes Partei ergreifen
to take someones part	jemandes Partei ergreifen
to take something for granted	etwas stillschweigend voraussetzen
to take steps	Maßnahmen ergreifen
to take steps (against)	Gegenmaßnahmen ergreifen (gegen)
to take stock	Inventur aufnehmen
to take the chair	den Vorsitz führen
to take the edge off	die Schärfe nehmen
to take the goods back	Ware zurücknehmen
to take the money	kassieren
to take the piss out of	verarschen
to take the responsibility	geradestehen
to take the view	auf dem Standpunkt stehen
to take the view that	dass
to take there	hinbringen
to take time	Zeit brauchen
to take to	angewöhnen
to take to hospital	einliefern
to take to one's heels	die Beine in die Hand nehmen
to take turns	abwechseln
to take up	abspulen
to take	einnehmen
to talk (to)	reden (zu)
to talk at cross purposes	vorbeireden
to talk at large	ins Blaue hinein reden
to talk business	über Geschäfte reden
to talk in platitudes	Phrasen dreschen
to talk large	großspurig reden
to talk over	besprechen
to talk politics	politisieren
to talk shop	fachsimpeln
to talk to oneself	Selbstgespräche führen
to tallow	schmieren
to tame	zähmen
to tamp	zustopfen
to tangle	durcheinanderkommen
to tangle up	durcheinanderkommen
to tangle with	aneinandergeraten mit
to tantalize	peinigen
to tantalize (with)	aufreizen
to tap	abgreifen
to tap someone (for)	jemanden anpumpen (um)
to tap the wire	Strom abzapfen
to taper	zuspitzen
to tar	teeren
to tare	tarieren
to target	genau zielen oder abzielen
to tariff	verzollen
to tarnish	trüben
to tarry	zögern
to task	beschäftigen
to taste	kosten (Essen)
to tatter	zerfetzen
to tattle	klatschen
to tattoo	tätowieren
to tax	besteuern
to teach	anlernen
to teach	lehren
to tear	zerreißen
to tear a hole in	ein Loch reißen in
to tear apart	auseinanderreißen
to tear away	wegreißen
to tear down	abbrechen
to tear off	abreißen
to tear one's hair	sich die Haare raufen
to tear open	aufreißen
to tear out	herausreißen
to tear up	zerfetzen
to tear	zerreißen
to tease	foppen
to teem	wimmeln
to teeter	wippen
to teethe	zahnen
to telecommand	fernsteuern
to telecommunicate	fernübertragen
to telecontrol	fernsteuern
to telecopy	fernkopieren
to telediagnose	fernüberwachen
to telemeter	fernmessen
to telemonitor	fernüberwachen
to telephone	telefonieren
to teleprint	fernschreiben
to teleprocess	fernverarbeiten
to telescript	fernschreiben
to teletype	fernschreiben
to teleview	fernsehen
to telewrite	fernschreiben
to tell	berichten
to tell a lie	lügen
to tell a long rigmarole	lang und breit erzählen
to tell a person lies	vorlügen
to tell off	heimleuchten
to tell someone's fortune	jemandem wahrsagen
to tell the truth	ehrlich gesagt
to tell	berichten
to temporize	abwarten
to tempt	verleiten
to tender	anbieten
to tent	zelten
to terminate	beenden
to terrify	erschrecken
to terrorize	terrorisieren
to tessellate	tesselieren
to test	prüfen
to testify	bezeugen
to thank	danken
to that effect	dahingehend
to thaw	tauen
to the	zum
to the best of my recollection	soweit ich mich erinnern kann
to the best of my remembrance	soweit ich mich erinnern kann
to the best of ones knowledge	nach bestem Wissen und Gewissen
to the disadvantage of	zuungunsten
to the left	nach links
to the left of	links von
to the point	treffend
to the right	rechts
to the right of	rechts von
to the same extent	in gleichem Maße
to the south of	im Süden von
to the surprise of all	zur Überraschung aller
to the top of one's bent	nach Herzenslust
to thicken	verdicken
to think about	nachdenken
to think ahead	vorausdenken
to think back	zurückdenken
to think out	ausdenken
to think over	überdenken
to think someone is is good	etwas für gut befinden
to think	denken
to thrash	niederwerfen
to thrash soundly	verdreschen
to thread	einfädeln
to threat	drohen
to threaten	androhen
to thresh	dreschen
to thrill	durchdringen
to thrive	gedeihen
to throb	klopfen
to throng	bedrängen
to throttle	drosseln
to throw away	verscherzen
to throw back	zurückwerfen
to throw down	hinwerfen
to throw in	als Zugabe geben
to throw into a dither	in Aufregung versetzen
to throw light on	Licht werfen auf
to throw oneself into the breach	in die Bresche springen
to throw out	hinauswerfen
to throw over	hinüberwerfen
to throw together	zusammenwerfen
to throw up	in die Höhe werfen
to throw	Hebel umlegen
to throwback	zurückwerfen
to thrum	klimpern
to thrust	stoßen
to thrust at	stoßen (nach)
to thrust out	vorstrecken
to thrust	schieben
to thud	aufprallen
to thunder	donnern
to thwack	durchbleuen
to thwart	behindern
to tick off	abhaken
to tidy	aufräumen
to tidy up	aufräumen
to tie	binden
to tie round	umbinden
to tie up	verschnüren
to tighten	festigen
to ting	klingeln
to tingle	klingen
to tinker	basteln
to tinkle	klingeln
to tip	ein Trinkgeld geben
to tip over	kippen
to tipple	tüchtig trinkend
to tiptoe	auf Zehenspitzen gehen
to tire	ermüden
to to break to pieces	zerbrechen
to to solve	enträtseln
to to take for	halten für
to to testify to	zeugen für
to to tremble with	zittern vor
to toast	rösten
to toddle	schwanken
to toddle off	trollen
to tog	anziehen
to toggle	festknebeln
to toil	quälen
to tolerate	dulden
to toot	blasen
to top	maximal erreichen
to topple	kippen
to torment	peinigen
to toss	knobeln
to toss about	sich hin und her wälzen
to toss and turn	sich hin und her wälzen
to tot up	sich belaufen
to totalize	zusammenrechnen
to totter	torkeln
to touch	berühren
to touch for	anpumpen
to toughen	zäh machen
to tousle	zausen
to tout	aufdringlich ankündigen
to tow	abschleppen
to tow off	abschleppen
to trace	aufspüren
to trace back	zurückverfolgen
to trace back to	zurückgehen auf
to trace out	trassieren
to track	verfolgen
to track down	aufstöbern
to trade	Handel treiben
to trade (deal) in	hadeln mit (einer Ware)
to trade (for)	eintauschen (für)
to trade in something	etwas in Zahlung geben
to traduce	verleumden
to trail	anhängen
to train	anlernen
to trammel	fesseln
to trample down	zerstampfen
to trample under foot	mit Füßen treten
to tranquilize	beruhigen
to tranquillize	beruhigen
to transact	abwickeln
to transcend	überschreiten
to transcode	umschlüsseln
to transcribe	umsetzen
to transfer	weiterleiten
to transfigure	umgestalten
to transfix	durchbohren
to transform	transformieren
to transfuse	umgießen
to transgress	überschreiten
to translate (into)	übersetzen (in)
to translate into German	verdeutschen
to transmigrate	fortziehen
to transmit	senden
to transmit by television	im Fernsehen übertragen
to transmogrify	ummodeln
to transmute	umwandeln
to transplant	transplantieren
to transport	transportieren
to transport goods	Waren transportieren
to transport to the spot	heranbringen
to transship	umladen
to trap	einfangen
to travel	reisen
to travel about	herumreisen
to travel by air	fliegen
to travel by car	mit dem Auto fahren
to travel with	mitreisen
to traverse	Bergsteigen
to trawl	mit dem Netz fischen
to tread carefully	vorsichtig auftreten
to tread in	eintreten
to tread into	eintreten
to tread	schreiten
to treat	behandeln
to treat lightly	auf die leichte Schulter nehmen
to treat someone with familiarity	jemanden mit Vertraulichkeit behandeln
to treble	verdreifachen
to tremble	bangen
to tremble like an aspen leaf	zittern wie Espenlaub
to trench	graben
to trepan	betrügen
to trick	betrügen
to trickle	rieseln
to trickle away	versickern
to trill	trillern
to trip	stolpern
to triturate	pulverisieren
to troll	trällern
to trot	trotten
to trouble	beunruhigen
to trounce	verhauen
to truckle	kriechen
to truncate	abbrechen
to trundle	rollen
to trust	einer Sache)
to trust (in)	sich verlassen (auf)
to try	aburteilen
to try on	anprobieren
to try one's luck	sein Glück versuchen
to try to suit everybody	es allen Leuten recht machen wollen
to try to understand	hineindenken
to tuck	zurückstreifen
to tuck up	zurückstreifen
to tug	zerren
to tumble	taumeln
to tune	abstimmen
to tune in	einstellen
to tune up	(Instrument) stimmen
to turn	drehen
to turn (round) to face (look at) someone	jemandem das Gesicht zuwenden
to turn a blind eye	ein Auge zudrücken
to turn adrift	auf die Straße setzen
to turn around	umkehren
to turn away	abkehren
to turn back	umkehren
to turn cartwheels	radschlagen
to turn down	ablehnen
to turn everything topsyturvy	alles auf den Kopf stellen
to turn grey	ergrauen
to turn in	einreichen
to turn inside out	das Oberste zuunterst kehren
to turn into	einbiegen
to turn into cash	zu Geld machen
to turn into stone	versteinern
to turn off	abbiegen
to turn on	andrehen
to turn on the tap	losflennen
to turn on the waters	losheulen
to turn one's attention to something	einer Sache Aufmerksamkeit zuwenden
to turn out	ausfallen
to turn out all right	gut ausgehen
to turn out the lights	die Lampen ausschalten
to turn over	umblättern
to turn over a new leaf	ein neues Leben beginnen
to turn over in one's grave	sich im Grabe herumdrehen
to turn pale	blass werden
to turn round	umlenken
to turn the corner	um die Ecke biegen
to turn to	sich einer Tätigkeit zuwenden
to turn towards	zuwenden
to turn up	aufbinden
to turn upside down	auf den Kopf stellen
to turn wheels	radschlagen
to turnabout	umdrehen
to turndown	umkehren
to tussle	kämpfen
to twaddle	schwatzen
to twang	klingen
to tweak	zwicken
to twiddle	drehen
to twine	zwirnen
to twinkle	glitzern
to twirl	drehen
to twist	drehen
to twit	aufziehen
to twitch	zupfen
to twitter	zwitschern
to type	eintippen
to type in	eintasten
to type out	ausgeben
to type wrong	vertippen
to typify	verkörpern
to tyrannize	tyrannisieren
to ulcerate	eitern
to ululate	heulen
to umpire	Schiedsrichter sein
to unarm	entwaffnen
to unbag	aus dem Sack lassen
to unbend	entspannen
to unbind	losbinden
to unblock	entblocken
to unbolt	öffnen
to unbosom	offenbaren
to unbundle	entbündeln
to uncage	befreien
to uncase	herausnehmen
to unchain	losketten
to unclamp	losbinden
to unclasp	aufmachen
to unclench	öffnen
to uncloak	enthüllen
to unclose	eröffnen
to uncock	entspannen
to uncode	entschlüsseln
to uncoil	abspulen
to uncompress	auseinanderziehen
to uncork	entkorken
to uncouple	auskuppeln
to uncover	abdecken
to uncross	geradelegen
to undeceive	aufklären
to undeck	entdecken
to undelete	wiederherstellen
to underact	unterspielen
to underbid	unterbieten
to undercut	unterbieten
to underemphasize	unterbetonen
to underestimate	unterschätzen
to underexpose	unterbelichten
to undergo	durchmachen
to underlie	unterliegen
to underline	unterstreichen
to undermine	untergraben
to underpay	unterbezahlen
to underplay	unterspielen
to underrate	unterschätzen
to underscore	unterstreichen
to undersell	unterbieten
to undersign	unterschreiben
to understand	begreifen
to understand	begreifen
to understate	abschwächen
to undertake	unterfangen
to undervalue	unterbewerten
to underwrite	garantieren
to undo	anulieren
to undress	ausziehen
to undulate	wellen
to unearth	ausgraben
to unfasten	losmachen
to unfetter	befreien
to unfix	lösen
to unfold	entfalten
to unfragment	zusammensetzen
to unfurl	ausbreiten
to ungird	losgürten
to unhand	loslassen
to unhide	aufdecken
to unhitch	losmachen
to unhook	aufhaken
to unite	(sich) vereinigen
to unknot	losknüpfen
to unlace	aufschnüren
to unlimber	abprotzen
to unlink	trennen
to unload	abladen
to unlock	aufschließen
to unloose	losmachen
to unmake	aufheben
to unman	entmannen
to unmask	entlarven
to unpack	auspacken
to unpin	losheften
to unplug	entfernen
to unquote	(Zitat) beenden
to unravel	enträtseln
to unreel	abspulen
to unriddle	enträtseln
to unrig	abmontieren
to unroll	abrollen
to unroof	abdecken (Haus)
to unsay	widerrufen
to unscramble	abkrabbeln
to unscrew	abschrauben
to unseal	entsiegeln
to unsettle	beunruhigen
to unshackle	befreien
to unsheathe	Ernst machen
to unsnarl	entwirren
to unsolder	ablösen
to unstop	aufmachen
to unstrap	abschnallen
to untack	abmachen
to untag	entmarkieren
to untangle	entwirren
to untie	aufbinden
to untile	abdecken (Dach)
to unveil	enthüllen
to unwind	abwickeln
to unwrap	auspacken
to unzip	Reißverschluss aufmachen
to upbraid	Vorwürfe machen
to update	aktualisieren
to update something	etwas auf den neuesten Stand bringen
to upend	umstülpen
to uphold	aufrechterhalten
to upholster	polstern
to uplift	erheben
to upraise	erheben
to upset	umwerfen
to upturn	nach oben wenden
to urge	dringend bitten
to use	(Vorteil
to use force	Gewalt anwenden
to use up	aufbrauchen
to usher	einführen
to utilize	anwenden
to vacantness	freimachen
to vacate	entleeren
to vaccinate	impfen
to vacillate	schwanken
to validate	bestätigen
to valorize	aufwerten
to value	bewerten
to vamoose	verduften
to vandalize	zerstören
to vanish	verschwinden
to vanish into thin air	von der Bildfläche verschwinden
to vanquish	besiegen
to vapor deposit	aufdampfen
to vaporize	bedampfen
to variegate	abwandeln
to vary	abwandeln
to veer	drehen
to veg out	dahinvegetieren
to vegetate	(wie eine Pflanze) wachsen
to veil	verhüllen
to vend	verkaufen
to venerate	ehren
to vent	entlüften
to ventilate	belüften
to venture	herauswagen
to venture out	herauswagen
to venture to come near	herwagen
to verbalize	in Worten ausdrücken
to verify	bestätigen
to vesicate	Blasen ziehen
to vet	(Tier) untersuchen
to vex	ärgern
to vibrate	schwanken
to vie	wetteifern
to view	betrachten
to vilify	schmähen
to vindicate	rechtfertigen
to violate	verletzen
to visit	besichtigen
to visit a fair	eine Messe besuchen
to vitalize	beleben
to vitaminize	vitaminisieren
to vitiate	beeinträchtigen
to vitrify	verglasen
to vivify	anregen
to vocalize	aussprechen
to vociferate	schreien
to voice	äußern
to volunteer	etwas von sich aus sagen
to volunteer (for)	sich freiwillig melden (zu)
to vote	abstimmen
to vote down	überstimmen
to vote someone on the board	jemanden in den Vorstand wählen
to vouch	verbürgen
to vouchsafe	gewähren
to vow	geloben
to vow vengeance	Rache schwören
to vulcanize	vulkanisieren
to vulgarize	erniedrigen
to waddle	watscheln
to wade	waten
to waft	wehen
to wag	schwänzeln
to wag its tail	mit dem Schwanz wedeln
to wag one's finger	jemandem mit dem Finger drohen
to waggle	wackeln (mit)
to wail	jammern
to wainscot	verkleiden
to wait (for	bis)
to wait and see	abwarten
to wait on someone	jemanden bedienen
to wait patiently	zuwarten
to waive	verzichten
to wake up	aufwachen
to wake	erwachen
to wales	striemen
to walk	gehen
to walk down	hinabgehen
to walk one after another	hintereinander dreingehen
to walk past someone	an jemandem vorübergehen
to walk up	hinaufgehen
to walkaway	fortgehen
to wall up	zumauern
to wallop	verprügeln
to wallow	im Schmutz wwalzen
to wallpaper	tapezieren
to wander	irren
to wander about	herumziehen
to wane	abflauen
to wangle	drehen
to wank	wichsen (onanieren)
to want	benötigen
to warble	trillern
to ward	abhalten
to warm	(sich) erwärmen
to warm (up)	aufwärmen
to warm one's feet	sich die Füße wärmen
to warm up	aufwärmen
to warn	warnen
to warn (of)	warnen (vor)
to warp	verzerren
to warrant	gewähren
to wash	(sich) waschen
to wash away	abschwemmen
to wash out	auswaschen
to wash the dishes	das Geschirr spülen
to wash up	abspülen
to waste	verbrauchen
to waste on drink	versaufen
to waste time	Zeit vergeuden
to watch	aufpassen
to watch children	auf Kinder aufpassen
to watch out (for)	aufpassen (auf)
to watch out for	Ausschau halten nach
to water	begießen
to wath TV	fernsehen
to wave	flattern
to wave to	zuwinken
to waver	flattern
to waylay	auflauern
to weaken	schwächen
to wean	entwöhnen
to wear	abnutzen
to wear away	abnutzen
to wear down	ermatten
to wear off	abklingen (Wirkung)
to wear out	abnutzen
to wear the breeches	die Hosen anhaben
to wear	anhaben (Kleidung)
to weave	weben
to wed	heiraten
to wee	Pipi machen
to ween	hoffen
to weep	weinen
to weigh	abwägen
to weigh (on)	abwägen
to weigh anchor	den Anker lichten
to weigh heavy	wuchten
to welcome	begrüßen
to welcome someone with open arms	jemanden mit offenen Armen empfangen
to weld	schweißen
to weld on	anschweißen
to weld together	zusammenschweißen
to welter	rollen
to wet	anfeuchten
to whack	durchprügeln
to wheedle	abbetteln
to wheeze	keuchen
to whelm	überschütten
to whet	wetzen
to whiff	paffen
to while away one's time	seine Zeit vertrödeln
to whimper	wimmern
to whine	wimmern
to whip	auspeitschen
to whir	schwirren
to whisk	wischen
to whisper	flüstern
to whisper to	zuflüstern
to whistle	pfeifen
to whiten	weiß machen
to whitewash	tünchen
to whiz	schleudern (Wäsche)
to whizz	flitzen
to whoop	schreien
to widen	(sich) weiten
to wield	handhaben
to wiggle	wackeln
to will	vermachen
to wilt	welken
to win over	herumkriegen
to win	erlangen
to wind	abspulen
to wind up	aufwickeln
to wind up a watch	eine Uhr aufziehen
to wind up affairs	Geschäfte abwickeln
to wind	drehen
to wink	zwinkern
to wink at	zublinzeln
to wipe	abstreifen
to wipe away	wegputzen
to wipe off	abstreichen
to wipe out	auswischen
to wipe up	aufwischen
to wish	wünschen
to wish a person ill	übelwollen
to wish back	zurücksehnen
to withdraw	entziehen
to withdraw	wegnehmen
to wither	verblühen
to withhold	vorenthalten
to withhold	zurückhalten
to withstand	aushalten
to withstand	widerstehen
to witness	bezeugen
to wobble	schwabbeln
to woo	locken
to word	formulieren
to work	arbeiten
to work free-lance	freiberuflich arbeiten
to work full time	ganztägig arbeiten
to work hard	schwer arbeiten
to work in	einarbeiten
to work in a jig	schablonieren
to work into	hineinarbeiten
to work meticulously	tüfteln
to work off	aufarbeiten
to work onself to death	sich abplagen
to work out	ausarbeiten
to work overtime	Mehrarbeit leisten
to work towards	hinwirken
to work underground	unter Tage arbeiten
to work up	verarbeiten
to work	funktionieren
to worm a secret out of	entlocken
to worming	schlängeln
to worry	beunruhigen
to worry about	befürchten
to worsen	schlechter machen
to wound	anschießen
to wrangle	streiten
to wrap	einhüllen
to wrap round	umwickeln
to wrap up	einhüllen
to wreak	auslassen
to wreathe	winden
to wreck	zugrunde richten
to wrench	reißen
to wriggle	schlängeln
to wring	abbringen
to wring from	abnötigen
to wring	wringen
to write (in) shorthand	stenographieren
to write back	zurückschreiben
to write down	aufschreiben
to write in	einschreiben
to write in one word	zusammenschreiben
to write off	abbuchen
to write out	ausfertigen
to write	schreiben
to writhe	krümmen
to yammer	jammern
to yank	herausziehen
to yawn	gähnen
to yell	kreischen
to yield	abwerfen
to yield profit	Nutzen abwerfen
to yip	jaulen
to yodel	jodeln
to your	zu deinem
to yowl	jaulen
to zap	löschen
to zap (from one TV channel to another)	zappen (von einem TV-Kanal zum anderen)
to zinced	verzinken
to zing	kritisieren
to zip	schwirren
to zoom off	abschwirren
to)	ungünstig (für)
toad	Kröte
toadflax	Leinkraut
toadied	gekrochen
toadies	kriecht
toads	Kröten
toadstool	Fliegenpilz
toadstools	Giftpilze
toady	Kriecher
toadying	kriechend
toadyism	Speichelleckerei
toast	Röstbrot
toasted	geröstet
toasters	Toaster
toasting	röstend
toastmaster	Toastmeister
toastmasters	Toastmeister
toasts	röstet
tobacco	Tabak
tobacco (plant)	Tabakpflanze
tobacco box	Tabaksdose
tobacco boxes	Tabaksdosen
tobacco goods	Tabakwaren
tobacco pouch	Tabaksbeutel
tobacco pouches	Tabaksbeutel
tobacco products	Rauchwaren
tobacco smoke	Tabakqualm
tobacconist	Tabakhändler
tobacconist's	Tabakwarenladen
tobacconists	Tabakhändler
tobaccos	Rauchwaren
toboggan	rodeln
toboggan run	Rodelbahn
tobogganed	gerodelt
tobogganing	rodelnd
toboggans	rodelt
tobring in	einspielen
tocsin	Sturmglocke
tocsins	Sturmglocken
today	heute
today of all days	ausgerechnet heute
todays	heutige
todays arrangements	die heutigen Veranstaltungen
toddies	Grogs
toddled	geschwankt
toddled off	getrollt
toddler	kleines Kind
toddlers	kleine Kinder
toddles	schwankt
toddles off	trollt
toddling	schwankend
toddling off	trollend
toddy	Grog
toe	Spur  (beim Auto)
toe clip	Pedalhaken
toe in	Vorspur  (beim Auto)
toe out	Nachspur  (beim Auto)
toehold	Brückenkopf
toeholds	Brückenköpfe
toenail	Zehennagel
toenails	Zehennägel
toes	Zehen
toff	feiner Pinkel
toffee	Sahnebonbon
toffees	Sahnebonbons
toffies	Sahnebonbons
toffy	Sahnebonbon
together	gemeinsam
togetherness	Einheitlichkeit
toggle	schalten zwischen
toggle switch	Kippschalter
toggled	geschaltet
toggles	schaltet
toggling	oberste
Togo (tg)	Togo
togs	Kalmotten  (Kleider)
toiled	geschuftet
toiler	Arbeiter
toilet	Abtritt
toilet article	Toilettenartikel
toilet articles	Toilettenartikel
toilet bag	Kulturbeutel
toilet paper	Klosettpapier
toilet set	Toilettengarnitur
toilet sets	Toilettengarnituren
toilet soap	Toilettenseife
toilet soaps	Toilettenseifen
toilet table	Toilettentisch
toilet tables	Toilettentische
toiletry	Toilettensache
toilets	Aborte
toiling	quälend
toils	quält
toilsome	mühsam
toilsomely	mühsam
toilsomeness	Mühseligkeit
toke	Puff
Tokelau (tk)	Tokelau
token	Kürzel
token strike	Warnstreik
token strikes	Warnstreiks
tokenized	in Tokens übersetzt
told	berichtete
told a lie	angeschwindelt
told a person lies	vorgelogen
told a person tales	vorgeredet
told off	heimgeleuchtet
told}	berichten
tolerable	erträgliche
tolerableness	Erträglichkeit
tolerably	erträglich
tolerance	Toleranz
tolerant	großzügig
tolerantly	tolerant
tolerated	duldete
tolerates	duldet
tolerating	geduldig
toleration	Duldung
tolerative	duldsam
toll	Gebühr
toll-free	gebührenfrei
tollable	zollpflichtig
tollage	Zollabgabe
tollbooth	Mautstelle
tollbooths	Mautstellen
tolled	schlug
tollgate	Mautschlagbaum
tollgates	Mautschlagbäume
tolling	schlagend
tolls	Autobahngebühren
toluene	Steinkohlenteeröl
tomahawk	Tomahawk
tomahawks	Tomahawks
tomato	Tomate
tomatoes	Tomaten
tomb	Grab
tombac	Tombak
tomboy	Range
tomboyish	wild
tomboys	Rangen
tombs	Grabmale
tombstone	Grabstein
tombstones	Grabsteine
tomcat	Kater
tome	Wälzer
tomfool	Einfaltspinsel
tomfooleries	Schwabenstreiche
tomfoolery	Albernheit
tomfools	Einfaltspinsel
tomography	Schichtaufnahme
tomorrow	morgen
tomorrow's paper	die morgige Zeitung
tomtit	Meise
tomtits	Meisen
tomtom	Tamtam
ton	Tonne  (Massemaß)
tonal	tonlich
tonality	Tonalität
tonally	tonliche
tone	Farbton
tone arm	Tonarm
tone arms	Tonarme
tone control	Tonregler
tone controls	Tonregler
tone pitch	Tonhöhe
tone pitches	Tonhöhen
tone poem	Tondichtung
tone poems	Tondichtungen
tone syllable	Tonsilbe
tone syllables	Tonsilben
toned	passte
toneless	klanglos
tonelessly	klanglose
tones	Töne
Tonga (to)	Tonga
tongs	Zange
tongue	Sprache
tongue shaped	zungenförmig
tongue twister	Zungenbrecher
tongued	gezapft
tongues	Zungen
tongues will wag	das wird Gerede geben
tonic	Stärkungsmittel
tonicity	Spannkraft
tonics	Stärkungsmittel
tonier	schicker
toniest	heute abend
tonight	heute abend
toning bath	Tonbad
toning baths	Tonbäder
tonnage	Tonnage
tons	Tonnen
tonsil	Mandel  (anatomisch)
tonsillectomies	Mandelentfernungen
tonsillectomy	Mandelentfernung
tonsillitis	Mandelentzündung
tonsils	Mandeln
tonsure	Tonsur
tonsures	Tonsuren
tony	schick
too	allzu
too get rough	handgreiflich werden
too lazy to think	denkfaul
too little	zuwenig
too long	zu lange
too many files	zuviele Dateien innerhalb eines Projekts
too many nested files	Include-Verschachtelung zu tief
too many nested scopes	zuviele Verschachtelungsebenen
too many open files	zuviele Dateien auf einmal offen
too many variables	zuviele Variablen
too much	allzuviel
too.	Das gilt auch für Sie.
took	genommen
took a photo	fotografierte
took a shower	duschte
took a sounding	sondierte
took by surprise	überrumpelte
took fright	scheute
took over	übernahm
took possession of	bemächtigte
took snuff	schnupfte
took the money	kassierte
took the responsibility	verantwortete
tool	Gerät
tool bag	Werkzeugtasche
tool bags	Werkzeugtaschen
tool box	Werkzeugkasten
tool change	Werkzeugwechsel
tool kit	Werkzeug
tool kits	Werkzeugausstattungen
toolbox	Werkzeugkasten
toolboxes	Werkzeugkästen
toolmaker	Werkzeugmacher
toolmakers	Werkzeugmacher
tools	Schlüssel
tooted	geblasen
tooth	Zahn
tooth decay	Karies
tooth dedcay	Karies
tooth spaces	Zahnlücken
tooth system	Verzahnung
tooth systems	Verzahnungen
tooth-brush	Zahnbürste
toothache	Zahnschmerzen
toothaches	Zahnschmerzen
toothbrush	Zahnbürste
toothbrushes	Zahnbürsten
toothed	verzahnt
toothed belt	Zahnriemen
toothed wheel	Zahnrad
toothless	zahnlos
toothlessly	zahnlos
toothpaste	Zahnpaste
toothpastes	Zahnpasten
toothpick	Zahnstocher
toothpicks	Zahnstocher
tooths	verzahnt
toothsome	schmackhaft
toothsomely	schmackhaft
tooting	blasend
toots	bläst
top	Anfang
top	Kreisel
top boot	Stulpstiefel
top boots	Stulpstiefel
top candidate	Spitzenkandidat
top candidates	Spitzenkanditaten
top class	Spitzenklasse
top dead center	oberer Totpunkt
top down	von oben nach unten
top edge	Oberkante
top flight	Spitzengruppe
top flights	Spitzengruppen
top floor	Dachgeschoß
top form	Höchstform
top level	höchste Ebene
top of form	Formularanfang
top performance	Spitzenleistung
top performances	Spitzenleistungen
top priority	höchste Priorität
top secret	streng geheim
top side	Oberseite
top speed	Spitzengeschwindigkeit
top tube	Oberrohr
topaz	Topas
topcoat	Überzieher
tope	Glatthai
topee	Tropenhelm
toper	Zecher
topers	Zecher
topflight	prima
tophat	Zylinder
tophats	Zylinder
topic	Inhalt
topic talk of the day	Tagesgespräch
topic talks of the day	Tagesgespräche
topical	aktuell
topically	aktuell
topics	Themen
topics of conversation	Gesprächsstoff
topknot	Haarknoten
topknots	Haarknoten
topless	oben ohne
topline	Kopfzeile
topmast	Strenge
topmasts	Toppmaste
topmost	höchst
topnotch	prima
topographer	Topograph
topographers	Topographen
topographic	topographisch
topographical	topographisch
topographically	topographischen
topographies	Ortsbeschreibungen
topography	Geländekunde
topological	topologisch
topological space	topologischer Raum [math.]
topologically	topologische
topologist	Topologe
topologists	Topologen
topology	räumliche Struktur
topped	verbesserte
topper	Schaustück
toppers	Schaustücke
topping	Garnierung
toppings	Garnierungen
toppled	gekippt
topples	kippt
toppling	kippend
tops	Oberteile
topsail	Marssegel
topsecret	streng geheim
topside	Oberseite
topsoil	Obererde
topsyturvily	auf den Kopf gestellt
topsyturvy	auf den Kopf gestellt
topview	Draufsicht
toque	barettartiger Frauenhut
toques	barettartige Frauenhüte
torch	Fackel
torch	Taschenlampe
torch bearer	Fackelträger
torch bearers	Fackelträger
torch 	Brandstifter
torchbearer	Fackelträger
torchbearers	Fackelträger
torches	Fackeln
torches	Schweißbrenner
torchlight	Fackelschein
torchlights	Fackelscheine
tore	reißte
tore up	zerfetzten
toreador	Stierfechter
toreadors	Stierfechter
torero	Stierkämpfer
torig	takeln
torment	Qual
tormented	gepeinigt
tormenting	peinigend
tormentor	Quäler
tormentors	Quäler
torments	peinigt
torments of Tantalus	Tantalusqual
torn	durchgerissen
torn apart	auseinandergerissen
torn away	weggerissen
torn ligament	Bänderriss
torn muscle	Muskelriss
torn off	abgerissen
torn open	aufgerissen
torn out	herausgerissen
torn up	zerfetzt
tornado	Tornado
tornadoes	Tornados
tornados	Tornados
torn}	zerreißen
toroidal core	Ringkern
torpedo	torpediere
torpedo boat	Torpedoboot
torpedo boats	Torpedoboote
torpedoed	torpedierte
torpedoes	torpediert
torpedoing	torpedierend
torpid	betäubt
torpidity	Betäubung
torpidly	betäubte
torpidness	Trägheit
torpidor	Erstarrung
torpor	Erstarrung
torque	Drehmoment
torques	Drehmomente
torrent	Sturzbach
torrent of words	Wortschwall
torrential	sturzflutartig
torrentially	sturzflutartig
torrents	Sturzbäche
torrid	glühend
torridly	glühend
torridness	Verbrennung
torsion	Verdrehung
torsion fracture	Torsionsbruch
torsional	Drehmoment...
torsional force	Torsionskraft
torsional moment	Drehmoment
torsional strength	Torsionsfestigkeit
torsional stress	Torsionsspannung
torsional test	Torsionsversuch  (Festigkeitsprüfung)
torsional vibration	Drehschwingung
torsionally	Verdrillung
torsions	Verdrehungen
